School Name,Category,Street Address,City,State,ZIP Code,Students,Grant Category,Organization Name,Activity Type,Fiscal Year,Mapped Location
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
Sylvan Park Paideia Design Center,MNPS,4801 Utah Avenue,Nashville,TN,37209,190,Basic Operating,Nashville Children's Theatre,,FY16,"4801 Utah Avenue
Nashville, TN 37209
(36.144302, -86.84463)"
Frederick Douglass Head Start,Pre-K/ELC,621 Howerton Street,Nashville,TN,37206,57,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"621 Howerton Street
Nashville, TN 37206
(36.176206, -86.762727)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,4,Basic Operating,W.O. Smith Music School,Out of School,FY16,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Nashville School of the Arts High School,MNPS,1250 Foster Avenue,Nashville,TN,37210,16,Basic Operating,W.O. Smith Music School,Out of School,FY16,"1250 Foster Avenue
Nashville, TN 37210
(36.131492, -86.741669)"
Pennington Elementary School,MNPS,2817 Donna Hill Drive,Nashville,TN,37214,1,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"2817 Donna Hill Drive
Nashville, TN 37214
(36.20299, -86.681867)"
Dudley Head Start,Pre-K/ELC,1203 3rd Avenue South,Nashville,TN,37210,191,Basic Operating,Nashville Ballet,In-School,FY17,"1203 3rd Avenue South
Nashville, TN 37210
(36.145101, -86.765525)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,1,Arts Access,"East Nashville Hope Exchange, Inc.",Out of School,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,27,Creation,Choral Arts Link,,FY16,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,33,Basic Operating,Moves and Grooves Inc.,Out of School,FY16,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Homeschool,Home Schooled,,,TN,,5,Basic Operating,abrasiveMedia,,FY16,"TN
(35.842998, -86.343226)"
The Covenant School,Private,33 Burton Hills Blvd,Nashville,TN,37215,60,Basic Operating,Nashville Symphony,In-School,FY17,"33 Burton Hills Blvd
Nashville, TN 37215
(36.09511, -86.824028)"
John Overton High School,MNPS,4820 Franklin Road,Nashville,TN,37220,23,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"4820 Franklin Road
Nashville, TN 37220
(36.080138, -86.772727)"
Shwab Elementary School,MNPS,1500 Dickerson Pike,Nashville,TN,37207,15,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"1500 Dickerson Pike
Nashville, TN 37207
(36.199361, -86.770285)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37203,330,Basic Operating,Nashville Opera,In-School,FY17,"510 Wedgewood Avenue
Nashville, TN 37203
(36.133001, -86.76601)"
Granbery Elementary School,MNPS,5501 Hill Road,Brentwood,TN,37027,628,Basic Operating,Nashville Children's Theatre,In-School,FY17,"5501 Hill Road
Brentwood, TN 37027
(36.047628, -86.752404)"
Early Learning Center Daycare Center,Pre-K/ELC,2729 Whites Creek Pike,Nashville,TN,37207,45,Basic Operating,Cheekwood,In-School,FY17,"2729 Whites Creek Pike
Nashville, TN 37207
(36.220977, -86.804843)"
St. Henry Catholic School,Private,6401 Harding Pike,Nashville,TN,37205,190,Basic Operating,Country Music Foundation,,FY16,"6401 Harding Pike
Nashville, TN 37205
(36.091451, -86.887776)"
Julia Green Elementary School,MNPS,3500 Hobbs Road,Nashville,TN,37215,600,Basic Operating,Nashville Ballet,,FY16,"3500 Hobbs Road
Nashville, TN 37215
(36.102263, -86.832973)"
Napier Enhanced Option Elementary School,MNPS,60 Fairfield Avenue,Nashville,TN,37210,65,Basic Operating,Nashville Ballet,,FY16,"60 Fairfield Avenue
Nashville, TN 37210
(36.15001, -86.757067)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,149,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Hillsboro High School,MNPS,3812 Hillsboro Pike,Nashville,TN,37215,25,Basic Operating,Music City Youth Orchestra,In-School,FY17,"3812 Hillsboro Pike
Nashville, TN 37215
(36.107472, -86.812867)"
Father Ryan High School,Private,700 Norwood Drive,Nashville,TN,37204,73,Basic Operating,Tennessee Performing Arts Center,,FY16,"700 Norwood Drive
Nashville, TN 37204
(36.099137, -86.768156)"
Rose Park Magnet Math & Science Middle School,MNPS,1025 9th Ave South,Nashville,TN,37203,21,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1025 9th Ave South
Nashville, TN 37203
(36.142539, -86.780874)"
Lakeview Elementary Design Center,MNPS,455 Rural Hill Road,Nashville,TN,37217,1,Arts Access,East Nashville Hope Exchange,Out of School,FY17,"455 Rural Hill Road
Nashville, TN 37217
(36.078477, -86.629671)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,60,Basic Operating,Country Music Foundation,,FY16,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
Linden Waldorf School,Private,3201 Hillsboro Pike,Nashville,TN,37215,1,Basic Operating,Nashville Jazz Workshop,Out of School,FY16,"3201 Hillsboro Pike
Nashville, TN 37215
(36.119645, -86.808727)"
Waverly Belmont Elementary School,MNPS,2301 10th Avenue South,Nashville,TN,37204,18,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"2301 10th Avenue South
Nashville, TN 37204
(36.126411, -86.786249)"
Eakin Elementary School,MNPS,2500 Fairfax Avenue,Nashville,TN,37212,5,Basic Operating,W.O. Smith Music School,Out of School,FY16,"2500 Fairfax Avenue
Nashville, TN 37212
(36.13475, -86.807413)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,256,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,10,Basic Operating,Southern Word,,FY16,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
Haywood Elementary School,MNPS,3790 Turley Drive,Nashville,TN,37211,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"3790 Turley Drive
Nashville, TN 37211
(36.074335, -86.708684)"
Belmont Weekday School,Pre-K/ELC,2007 Acklen Avenue,Nashville,TN,37212,80,Basic Operating,Global Education Center,In-School,FY17,"2007 Acklen Avenue
Nashville, TN 37212
(36.135695, -86.800243)"
Oliver Middle Prep,MNPS,6211 Nolensville Pike,Nashville,TN,37211,35,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"6211 Nolensville Pike
Nashville, TN 37211
(36.021676, -86.71167)"
Lipscomb Academy,Private,3901 Granny White Pike,Nashville,TN,37204,19,Basic Operating,The Nashville Shakespeare Festival,,FY16,"3901 Granny White Pike
Nashville, TN 37204
(36.104122, -86.796661)"
Warner Enhanced Option Elementary School,MNPS,626 Russell Street,Nashville,TN,37206,360,Basic Operating,Nashville Ballet,,FY16,"626 Russell Street
Nashville, TN 37206
(36.172254, -86.760445)"
Strive Collegiate Academy,MNPS,3055 Lebanon Pike,Nashville,TN,37214,1,Basic Operating,Choral Arts Link,Out of School,FY17,"3055 Lebanon Pike
Nashville, TN 37214
(36.178957, -86.644344)"
McGavock High School,MNPS,3150 McGavock Pike,Nashville,TN,37214,5,Basic Operating,W.O. Smith Music School,Out of School,FY17,"3150 McGavock Pike
Nashville, TN 37214
(36.185147, -86.67648)"
Cane Ridge Elementary,MNPS,3884 Asheford Trace,Antioch,TN,37013,4,Basic Operating,W.O. Smith Music School,Out of School,FY16,"3884 Asheford Trace
Antioch, TN 37013
(36.04045, -86.619964)"
Harpeth Hall School,Private,3801 Hobbs Road,Nashville,TN,37205,25,Basic Operating,Global Education Center,,FY16,"3801 Hobbs Road
Nashville, TN 37205
(36.103441, -86.840497)"
Pennington Elementary School,MNPS,2817 Donna Hill Drive,Nashville,TN,37214,12,Basic Operating,Choral Arts Link,,FY16,"2817 Donna Hill Drive
Nashville, TN 37214
(36.20299, -86.681867)"
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,29,Basic Operating,Frist Center for the Visual Arts,,FY16,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
Homeschool,Home Schooled,,,TN,,40,Basic Operating,Global Education Center,,FY16,"TN
(35.842998, -86.343226)"
Harding Academy,Private,170 Windsor Drive,Nashville,TN,37205,550,Basic Operating,Nashville Ballet,In-School,FY17,"170 Windsor Drive
Nashville, TN 37205
(36.10207, -86.866583)"
Goodpasture Christian School,Private,619 West Due West Avenue,Madison,TN,37115,10,Basic Operating,Country Music Foundation,,FY16,"619 West Due West Avenue
Madison, TN 37115
(36.249737, -86.739521)"
Jones Paideia Elementary Magnet School,MNPS,1800 9th Avenue North,Nashville,TN,37208,182,Basic Operating,Country Music Foundation,In-School,FY17,"1800 9th Avenue North
Nashville, TN 37208
(36.181246, -86.801903)"
Sylvan Park Paideia Design Center,MNPS,4801 Utah Avenue,Nashville,TN,37209,5,Basic Operating,W.O. Smith Music School,Out of School,FY17,"4801 Utah Avenue
Nashville, TN 37209
(36.144302, -86.84463)"
Nashville Classical Charter School,MNPS,1310 Ordway Place,Nashville,TN,37206,3,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1310 Ordway Place
Nashville, TN 37206
(36.18026, -86.746013)"
Jere Baxter Middle Prep,MNPS,350 Hart Lane,Nashville,TN,37207,20,Basic Operating,Nashville Ballet,,FY16,"350 Hart Lane
Nashville, TN 37207
(36.219724, -86.750594)"
University School of Nashville,Private,2000 Edgehill Avenue,Nashville,TN,37212,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"2000 Edgehill Avenue
Nashville, TN 37212
(36.143997, -86.798995)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,147,Basic Operating,Nashville Children's Theatre,In-School,FY17,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Ezell-Harding Christian School,Private,574 Bell Road,Antioch,TN,37013,147,Basic Operating,Nashville Children's Theatre,In-School,FY17,"574 Bell Road
Antioch, TN 37013
(36.065115, -86.637002)"
Westmeade Elementary School,MNPS,6641 Clearbrook Drive,Nashville,TN,37205,2,Arts Access,Global Education Center,Out of School,FY17,"6641 Clearbrook Drive
Nashville, TN 37205
(36.091787, -86.894436)"
May Werthan Shayne Elementary School,MNPS,6217 Nolensville Pike,Nashville,TN,37211,190,Basic Operating,Country Music Foundation,,FY16,"6217 Nolensville Pike
Nashville, TN 37211
(36.020211, -86.710266)"
Hull-Jackson Montessori Magnet School,MNPS,1015 Kellow Street,Nashville,TN,37208,4,Basic Operating,Global Education Center,,FY16,"1015 Kellow Street
Nashville, TN 37208
(36.190768, -86.807322)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,110,Basic Operating,Cheekwood,In-School,FY17,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
Maplewood High School,MNPS,401 Walton Lane,Nashville,TN,37216,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"401 Walton Lane
Nashville, TN 37216
(36.232997, -86.750784)"
Stratford STEM Magnet School Lower Campus,MNPS,1800 Stratford Avenue,Nashville,TN,37216,6,Basic Operating,Southern Word,,FY16,"1800 Stratford Avenue
Nashville, TN 37216
(36.198164, -86.717083)"
St. Bernard Academy,Private,2304 Bernard Avenue,Nashville,TN,37212,473,Basic Operating,Nashville Children's Theatre,,FY16,"2304 Bernard Avenue
Nashville, TN 37212
(36.13163, -86.805055)"
Hattie Cotton Elementary School,MNPS,1033 West Greenwood Avenue,Nashville,TN,37206,75,After-School Arts,Tennessee Performing Arts Center,Out of School,FY16,"1033 West Greenwood Avenue
Nashville, TN 37206
(36.190618, -86.747804)"
Una Elementary School,MNPS,2018 Murfreesboro Pike,Nashville,TN,37217,186,Arts Access,Nashville Children's Theatre,,FY16,"2018 Murfreesboro Pike
Nashville, TN 37217
(36.095161, -86.654176)"
Abintra Montessori School,Private,914 Davidson Drive,Nashville,TN,37205,76,Basic Operating,Frist Center for the Visual Arts,,FY16,"914 Davidson Drive
Nashville, TN 37205
(36.118209, -86.899237)"
Donelson Middle Prep,MNPS,110 Stewarts Ferry Pike,Nashville,TN,37214,36,After-School Arts,PENCIL Foundation,Out of School,FY17,"110 Stewarts Ferry Pike
Nashville, TN 37214
(36.167, -86.655671)"
Montgomery Bell Academy,Private,4001 Harding Pike,Nashville,TN,37205,6,Basic Operating,Nashville Repertory Theatre,,FY16,"4001 Harding Pike
Nashville, TN 37205
(36.13064, -86.836801)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,105,Basic Operating,Nashville Symphony,,FY16,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
STEM Middle Prep,MNPS,1162 Foster Avenue,Nashville,TN,37210,4,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1162 Foster Avenue
Nashville, TN 37210
(36.136091, -86.741195)"
Caldwell Enhanced Option Elementary School,MNPS,244 Foster Street,Nashville,TN,37207,300,Basic Operating,Nashville Symphony,,FY16,"244 Foster Street
Nashville, TN 37207
(36.178974, -86.768642)"
Rocketship United Academy,MNPS,320 Plus Park Boulevard,Nashville,TN,37217,4,Arts Access,Global Education Center,Out of School,FY17,"320 Plus Park Boulevard
Nashville, TN 37217
(36.130488, -86.725368)"
Davis Early Learning Center,Pre-K/ELC,1910 South Hamilton Road,Nashville,TN,37218,3,Arts Access,Global Education Center,Out of School,FY17,"1910 South Hamilton Road
Nashville, TN 37218
(36.191753, -86.832991)"
Hume-Fogg Magnet High School,MNPS,700 Broadway,Nashville,TN,37203,8,Basic Operating,W.O. Smith Music School,Out of School,FY17,"700 Broadway
Nashville, TN 37203
(36.159164, -86.781476)"
Antioch High School,MNPS,1900 Hobson Pike,Antioch,TN,37013,50,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"1900 Hobson Pike
Antioch, TN 37013
(36.047414, -86.60038)"
Cane Ridge High School,MNPS,12848 Old Hickory Boulevard,Antioch,TN,37013,50,Basic Operating,Nashville Ballet,In-School,FY17,"12848 Old Hickory Boulevard
Antioch, TN 37013
(36.026553, -86.615508)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,30,Basic Operating,Moves and Grooves Inc.,Out of School,FY16,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Glenn Enhanced Option Elementary School,MNPS,322 Cleveland Street,Nashville,TN,37207,4,Arts Access,"East Nashville Hope Exchange, Inc.",Out of School,FY16,"322 Cleveland Street
Nashville, TN 37207
(36.186975, -86.766561)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,125,Basic Operating,Tennessee Performing Arts Center,,FY16,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
Jere Baxter Middle Prep,MNPS,350 Hart Lane,Nashvillle,TN,37207,30,After-School Arts,Southern Word,Out of School,FY17,"350 Hart Lane
Nashvillle, TN 37207
(36.219724, -86.750594)"
A.Z. Kelley Elementary School,MNPS,5834 Pettus Road,Antioch,TN,37013,344,Arts Access,Nashville Children's Theatre,In-School,FY17,"5834 Pettus Road
Antioch, TN 37013
(36.022988, -86.664651)"
Carter-Lawrence Elementary School,MNPS,1118 12th Avenue South,Nashville,TN,37203,5,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1118 12th Avenue South
Nashville, TN 37203
(36.143513, -86.786798)"
El Hardin De Los Ninos,Pre-K/ELC,211 North 11th Street,Nashville,TN,37206,70,Arts Access,Nashville Ballet,In-School,FY17,"211 North 11th Street
Nashville, TN 37206
(36.179128, -86.749849)"
Chadwell Elementary School,MNPS,321 Port Drive,Nashville,TN,37115,3,Arts Access,"East Nashville Hope Exchange, Inc.",Out of School,FY16,"321 Port Drive
Nashville, TN 37115
(36.256975, -86.741981)"
Glenview Elementary School,MNPS,1020 Patricia Drive,Nashville,TN,37217,5,Basic Operating,Global Education Center,,FY16,"1020 Patricia Drive
Nashville, TN 37217
(36.128499, -86.70726)"
Madison Middle Prep,MNPS,300 West Old Hickory Blvd,Madison,TN,37115,30,Creation,Choral Arts Link,,FY16,"300 West Old Hickory Blvd
Madison, TN 37115
(36.263489, -86.716018)"
Nashville Academy of Computer Science,MNPS,3230 Brick Church Pike,Nashville,TN,37207,30,Basic Operating,"Youth Empowerment through Arts and Humanities, Inc.",Out of School,FY16,"3230 Brick Church Pike
Nashville, TN 37207
(36.234841, -86.781291)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,2,Basic Operating,W.O. Smith Music School,Out of School,FY17,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Christ Presbyterian Academy,Private,2323 Old Hickory Boulevard,Nashville,TN,37215,84,Basic Operating,Nashville Symphony,In-School,FY17,"2323 Old Hickory Boulevard
Nashville, TN 37215
(36.050647, -86.878085)"
MNPS Virtual School,MNPS,4805 Park Avenue,Nashville,TN,37209,6,Basic Operating,Nashville Repertory Theatre,In-School,FY17,"4805 Park Avenue
Nashville, TN 37209
(36.150961, -86.844705)"
Meigs Magnet Middle Prep,MNPS,713 Ramsey Street,Nashville,TN,37206,2,Basic Operating,Nashville Jazz Workshop,Out of School,FY17,"713 Ramsey Street
Nashville, TN 37206
(36.17603, -86.760346)"
Croft Design Center Middle Prep,MNPS,482 Elysian Fields Road,Nashville,TN,37211,37,After-School Arts,PENCIL Foundation,Out of School,FY17,"482 Elysian Fields Road
Nashville, TN 37211
(36.084443, -86.736871)"
Two Rivers Middle Prep,MNPS,2991 McGavock Pike,Nashville,TN,37214,8,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"2991 McGavock Pike
Nashville, TN 37214
(36.195903, -86.673373)"
New Vision Academy,MNPS,297 Plus Park Blvd,Nashville,TN,37217,1,Basic Operating,W.O. Smith Music School,Out of School,FY16,"297 Plus Park Blvd
Nashville, TN 37217
(36.127184, -86.725)"
Stratford STEM,MNPS,2000 Greenwood Avenue,Nashville,TN,37206,12,After-School Arts,Nashville Children's Theatre,Out of School,FY17,"2000 Greenwood Avenue
Nashville, TN 37206
(36.189048, -86.732515)"
McMurray Middle Prep,MNPS,520 McMurray Drive,Nashville,TN,37211,31,After-School Arts,Frist Center for the Visual Arts,Out of School,FY16,"520 McMurray Drive
Nashville, TN 37211
(36.05738, -86.722669)"
West End Middle Prep,MNPS,3529 West End Avenue,Nashville,TN,37205,200,Basic Operating,Global Education Center,In-School,FY17,"3529 West End Avenue
Nashville, TN 37205
(36.134835, -86.824625)"
McMurray Middle Prep,MNPS,520 McMurray Drive,Nashville,TN,37211,80,Basic Operating,Country Music Foundation,,FY16,"520 McMurray Drive
Nashville, TN 37211
(36.05738, -86.722669)"
Tennessee School for the Blind,Other,115 Stewarts Ferry Pike,Nashville,TN,37214,61,Basic Operating,Tennessee Performing Arts Center,,FY16,"115 Stewarts Ferry Pike
Nashville, TN 37214
(36.166855, -86.655375)"
Goodlettsville Elementary School,MNPS,514 Donald Avenue,Goodlettsville,TN,37072,184,Basic Operating,Nashville Children's Theatre,In-School,FY17,
Thomas A. Edison Elementary School,MNPS,6130 Mt. View Road,Antioch,TN,37013,50,Arts Access,"Native American Indian Association of TN, Inc.",,FY16,"6130 Mt. View Road
Antioch, TN 37013
(36.063319, -86.607009)"
Alex Green Elementary School,MNPS,3921 Lloyd Road,Whites Creek,TN,37189,50,Arts Access,Tennessee Performing Arts Center,,FY16,"3921 Lloyd Road
Whites Creek, TN 37189
(36.252464, -86.831571)"
John Early Museum Magnet Middle Prep,MNPS,1000 Cass Street,Nashville,TN,37208,14,After-School Arts,Nashville Children's Theatre,Out of School,FY17,"1000 Cass Street
Nashville, TN 37208
(36.186443, -86.804661)"
St. Ann's Catholic School,Private,5105 Charlotte Avenue,Nashville,TN,37209,4,Basic Operating,Global Education Center,Out of School,FY17,"5105 Charlotte Avenue
Nashville, TN 37209
(36.151941, -86.849314)"
Buena Vista Enhanced Option Elementary School,MNPS,1531 9th Avenue North,Nashville,TN,37208,1,Basic Operating,W.O. Smith Music School,Out of School,FY17,"1531 9th Avenue North
Nashville, TN 37208
(36.177928, -86.797921)"
Mt. View Elementary School,MNPS,3820 Murfreesboro Road,Antioch,TN,37013,3,Arts Access,Global Education Center,Out of School,FY17,"3820 Murfreesboro Road
Antioch, TN 37013
(36.040653, -86.604368)"
Park Avenue Enhanced Option Elementary School,MNPS,3703 Park Avenue,Nashville,TN,37209,105,Arts Access,Nashville Ballet,In-School,FY17,"3703 Park Avenue
Nashville, TN 37209
(36.151584, -86.829723)"
Community Based Transition Program,MNPS,2601 Bransford Ave,Nashville,TN,37204,13,Basic Operating,Cheekwood,In-School,FY17,"2601 Bransford Ave
Nashville, TN 37204
(36.121796, -86.7655)"
Explore! Community School,MNPS,217 South 10th Street,Nashville,TN,37206,210,Basic Operating,Cheekwood,Out of School,FY17,"217 South 10th Street
Nashville, TN 37206
(36.174536, -86.751919)"
Goodpasture Christian School,Private,619 West Due West Avenue,Madison,TN,37115,1,Basic Operating,Choral Arts Link,Out of School,FY17,"619 West Due West Avenue
Madison, TN 37115
(36.249737, -86.739521)"
Inglewood Elementary School,MNPS,1700 Riverside Drive,Nashville,TN,37216,60,Arts Access,Nashville Ballet,In-School,FY17,"1700 Riverside Drive
Nashville, TN 37216
(36.197707, -86.72332)"
J.E. Moss Elementary School,MNPS,4701 Bowfield Drive,Antioch,TN,37013,950,Basic Operating,Nashville Ballet,In-School,FY17,"4701 Bowfield Drive
Antioch, TN 37013
(36.066996, -86.668993)"
Head Magnet Middle Prep,MNPS,1830 Jo Johnson Avenue,Nashville,TN,37203,120,Basic Operating,Nashville Symphony,,FY16,"1830 Jo Johnson Avenue
Nashville, TN 37203
(36.159251, -86.803381)"
Liberty Colleigate Academy,MNPS,3515 Gallatin Pike,Nashville,TN,37216,7,Basic Operating,W.O. Smith Music School,Out of School,FY16,"3515 Gallatin Pike
Nashville, TN 37216
(36.212047, -86.732247)"
St. Clement Coptic Orthodox Christian Academy,Private,476 McMurray Drive,Nashville,TN,37211,14,Basic Operating,Frist Center for the Visual Arts,In-School,FY17,"476 McMurray Drive
Nashville, TN 37211
(36.059236, -86.722488)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,169,Basic Operating,Southern Word,,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Tulip Grove Elementary School,MNPS,441 Tyler Drive,Hermitage,TN,37076,4,Basic Operating,Global Education Center,,FY16,"441 Tyler Drive
Hermitage, TN 37076
(36.198176, -86.611442)"
East End Prep,MNPS,1460 McGavock Pike,Nashville,TN,37216,230,Basic Operating,Nashville Symphony,,FY16,"1460 McGavock Pike
Nashville, TN 37216
(36.207179, -86.718799)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,12,Basic Operating,Nashville Ballet,Out of School Time,FY16,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Donelson Christian Academy,Private,300 Danyacrest Drive,Nashville,TN,37214,60,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"300 Danyacrest Drive
Nashville, TN 37214
(36.183834, -86.650836)"
Fall-Hamilton Advanced Option School,MNPS,510 Wedgewood Avenue,Nashville,TN,37207,3,Basic Operating,W.O. Smith Music School,Out of School,FY16,"510 Wedgewood Avenue
Nashville, TN 37207
(36.133001, -86.76601)"
Rocketship Nashville Northeast Elementary School,MNPS,2526 Dickerson Pike,Nashville,TN,37207,357,Basic Operating,Nashville Children's Theatre,,FY16,"2526 Dickerson Pike
Nashville, TN 37207
(36.213439, -86.764561)"
McGavock Elementary School,MNPS,275 McGavock Pike,Nashville,TN,37214,470,Basic Operating,Nashville Symphony,In-School,FY17,"275 McGavock Pike
Nashville, TN 37214
(36.160392, -86.681478)"
Smith Springs Elementary School,MNPS,3132 Smith Springs Road,Antioch,TN,37013,2,Arts Access,Global Education Center,Out of School,FY17,"3132 Smith Springs Road
Antioch, TN 37013
(36.082957, -86.596744)"
Cambridge Early Learning Center,Pre-K/ELC,2325 Hickory Highlands Drive,Nashville,TN,37013,189,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"2325 Hickory Highlands Drive
Nashville, TN 37013
(36.060835, -86.641835)"
Mt. View Elementary School,MNPS,3820 Murfreesboro Road,Antioch,TN,37013,150,Basic Operating,Frist Center for the Visual Arts,,FY16,"3820 Murfreesboro Road
Antioch, TN 37013
(36.040653, -86.604368)"
Ruby Major Elementary School,MNPS,5141 John Hagar Road,Hermitage,TN,37076,350,Basic Operating,Nashville Children's Theatre,In-School,FY17,"5141 John Hagar Road
Hermitage, TN 37076
(36.15773, -86.57905)"
St. Paul Christian Academy,Private,5035 Hillsboro Pike,Nashville,TN,37215,140,Basic Operating,Nashville Symphony,,FY16,"5035 Hillsboro Pike
Nashville, TN 37215
(36.096962, -86.824113)"
Neely's Bend Elementary School,MNPS,1300 Neelys Bend Road,Madison,TN,37115,170,Basic Operating,Nashville Symphony,In-School,FY17,"1300 Neelys Bend Road
Madison, TN 37115
(36.239893, -86.672446)"
John F. Kennedy Middle Prep,MNPS,2087 Hobson Pike,Antioch,TN,37013,120,Basic Operating,Country Music Foundation,In-School,FY17,"2087 Hobson Pike
Antioch, TN 37013
(36.054839, -86.598929)"
Andrew Jackson Elementary School,MNPS,110 Shute Lane,Old Hickory,TN,37138,130,Basic Operating,Tennessee Performing Arts Center,In-School,FY17,"110 Shute Lane
Old Hickory, TN 37138
(36.232084, -86.622589)"
Hillsboro High School,MNPS,400 Davidson Road,Nashville,TN,37205,8,Basic Operating,W.O. Smith Music School,Out of School,FY16,"400 Davidson Road
Nashville, TN 37205
(36.117025, -86.873648)"
Glencliff High School,MNPS,160 Antioch Pike,Nashville,TN,37211,180,Basic Operating,Nashville Shakespeare Festival,In-School,FY17,"160 Antioch Pike
Nashville, TN 37211
(36.100889, -86.726609)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,23,Basic Operating,Frist Center for the Visual Arts,,FY16,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Lighthouse Christian School,Private,5100 Blue Hole Road,Antioch,TN,37013,2,Basic Operating,W.O. Smith Music School,Out of School,FY16,"5100 Blue Hole Road
Antioch, TN 37013
(36.05263, -86.673119)"
Frederick Douglass Head Start,Pre-K/ELC,621 Howerton Street,Nashville,TN,37206,17,Basic Operating,Cheekwood,In-School,FY17,"621 Howerton Street
Nashville, TN 37206
(36.176206, -86.762727)"
Old Center Elementary School,MNPS,1245 Dickerson Pike South,Goodlettsville,TN,37072,55,After-School Arts,Tennessee Performing Arts Center,Out of School,FY17,"1245 Dickerson Pike South
Goodlettsville, TN 37072
(36.290781, -86.737701)"
